,winery,country_id,province_id
622,Dry River,11.0,87.0
623,Dutton Estate,2.0,7.0
624,Failla,2.0,7.0
625,Friedeman,2.0,7.0
626,Akarua,11.0,88.0
627,Benvenuto de la Serna,6.0,10.0
628,Carrick,11.0,88.0
629,JCB,4.0,62.0
630,Casca Wines,1.0,89.0
631,Cave de Viré,4.0,21.0
632,Cortes de Cima,1.0,35.0
633,Domaine Bousquet,6.0,10.0
634,Messias,1.0,83.0
635,Mont Sec,2.0,90.0
636,Paolo Manzone,0.0,31.0
637,Quinta de Paços,1.0,83.0
638,Rascal,2.0,2.0
639,Terrazas de Los Andes,6.0,9.0
640,Jack's House,2.0,7.0
641,Kiwi Cuvée,4.0,26.0
642,Domaine Michel Goubard,4.0,21.0
643,Domaine Poulleau Père et Fils,4.0,21.0
644,Durigutti,6.0,10.0
645,El Esteco,6.0,9.0
646,Felten Cellars,2.0,7.0
647,Wines & Winemakers,1.0,91.0
648,Lagarde,6.0,10.0
649,Marchesi di Barolo,0.0,31.0
650,McPherson,2.0,90.0
651,Patriarche Père et Fils,4.0,21.0
652,Paul Reitz,4.0,21.0
653,Pech Merle,2.0,7.0
654,Punset,0.0,31.0
655,Ribafreixo,1.0,46.0
656,Jacob's Creek,8.0,92.0
657,William Knuttel,2.0,7.0
658,Casa Larga,2.0,29.0
659,Cave de Beblenheim,4.0,5.0
660,De Loach,2.0,7.0
661,De Martino,7.0,68.0
662,Dopff Au Moulin,4.0,5.0
663,Center of Effort,2.0,7.0
664,Handley,2.0,7.0
665,Kuleto Estate,2.0,7.0
666,Lane Tanner,2.0,7.0
667,MacRostie,2.0,7.0
668,Monte De Oro,2.0,7.0
669,Ninquén,7.0,13.0
670,Oro de Castilla,3.0,4.0
671,Pablo del Villar,3.0,4.0
672,Pax,2.0,7.0
673,Robert Foley,2.0,7.0
674,42°S,8.0,93.0
675,Manyana,3.0,4.0
676,McWilliam's Hanwood Estate,8.0,92.0
677,Paternoster,0.0,14.0
678,G. H. Mumm,4.0,20.0
679,Jean Milan,4.0,20.0
680,Monte da Penha,1.0,46.0
681,Patton Valley,2.0,2.0
682,Pierre Gimonnet et Fils,4.0,20.0
683,Scubla,0.0,41.0
684,Adelsheim,2.0,2.0
685,Bruno Paillard,4.0,20.0
686,Castello d'Albola,0.0,27.0
687,Ferrari,0.0,41.0
688,Laetitia,2.0,7.0
689,Bella,2.0,7.0
690,Quinta do Sagrado,1.0,1.0
691,San Pedro de Yacochuya,6.0,9.0
692,Sobredos,1.0,1.0
693,St. Supéry,2.0,7.0
694,Von Schleinitz,5.0,8.0
695,Barnard Griffin,2.0,18.0
696,Beacon Hill,2.0,2.0
697,Bernard Magrez,4.0,16.0
698,Brian Carter Cellars,2.0,18.0
699,Buttonwood,2.0,7.0
700,Château Corbin,4.0,16.0
701,Château Haut-Logat,4.0,16.0
702,Château La Branne,4.0,16.0
703,Château Mayne Vieil,4.0,16.0
704,Château Mille-Roses,4.0,16.0
705,Chessman,2.0,7.0
706,Deerfield Ranch,2.0,7.0
707,Domaine Franck Besson,4.0,12.0
708,Efeste,2.0,18.0
709,Firesteed,2.0,2.0
710,Iron Hub,2.0,7.0
711,Kooyong,8.0,63.0
712,Moncaro,0.0,19.0
713,Finca Constancia,3.0,36.0
714,Aiken,2.0,7.0
715,Castell,5.0,94.0
716,Donkey & Goat,2.0,7.0
717,Valdicava,0.0,27.0
718,Finn Hill,2.0,18.0
719,Keuka Spring,2.0,29.0
720,La Playa,7.0,13.0
721,Les Vins Aujoux,4.0,12.0
722,Mont Gravet,4.0,37.0
723,Navardia,3.0,4.0
724,Pata Negra,3.0,55.0
725,Ridolfi,0.0,27.0
726,Still Waters,2.0,7.0
727,Stomping Ground,2.0,7.0
728,Tenuta Poggio il Castellare,0.0,27.0
729,Tenuta San Giorgio,0.0,27.0
730,Terrapura,7.0,58.0
731,Clos Troteligotte,4.0,37.0
732,Columbia Winery,2.0,18.0
733,Domaine de Thulon,4.0,12.0
734,Domaine du Haut-Poncié,4.0,12.0
735,Domaine du Vissoux,4.0,12.0
736,Dosio,0.0,31.0
737,Georges Duboeuf,4.0,12.0
738,Juvé y Camps,3.0,55.0
739,Laurent Gauthier,4.0,12.0
740,Leaping Horse,2.0,7.0
741,Manoir du Carra,4.0,12.0
742,Maryhill,2.0,18.0
743,Cottanera,0.0,0.0
744,CVA Canicattì,0.0,0.0
745,Domaine Barmès-Buecher,4.0,5.0
746,Domaine Bott-Geyl,4.0,5.0
747,Domaine Collotte,4.0,21.0
748,Domaine Faiveley,4.0,21.0
749,Domaine Jacques Prieur,4.0,21.0
750,Domaine René Bouvier,4.0,21.0
751,Domaine Roland Schmitt,4.0,5.0
752,Dr. H. Thanisch (Erben Thanisch),5.0,8.0
753,Easton,2.0,7.0
754,Edna Valley Vineyard,2.0,7.0
755,Fattoria La Rivolta,0.0,14.0
756,Fess Parker,2.0,7.0
757,Foretell,2.0,7.0
758,Gershon Bachus,2.0,7.0
759,Graci,0.0,0.0
760,Tornatore,0.0,0.0
761,West of Temperance,2.0,7.0
762,Winzergenossenschaft Mayschoss-Altenahr,5.0,95.0
763,Baglio del Cristo di Campobello,0.0,0.0
764,Beresford,8.0,22.0
765,Carabella,2.0,2.0
766,Carmen,7.0,13.0
767,Casa Dumetz,2.0,7.0
768,Greenwood Ridge,2.0,7.0
769,Herencia,2.0,7.0
770,J. Scott Cellars,2.0,2.0
771,Chateau Dereszla,13.0,65.0
772,Quinta do Vallado,1.0,1.0
773,Roquette e Cazes,1.0,1.0
774,Vall Llach,3.0,55.0
775,Ceralti,0.0,27.0
776,Château Bel-Air Ortet,4.0,16.0
777,Château Ferrière,4.0,16.0
778,Fuentes,3.0,55.0
